GEO.id,GEO.id2,GEO.labelfull,GEO.display-label,HHs,percent.SNAP,percent.SNAP.kids,percent.SNAP_KidHHs
1400000US10003000200,10003000200,"Census Tract 2, New Castle County, Delaware",2,2248,21.2,77.6,16.5
1400000US10003000300,10003000300,"Census Tract 3, New Castle County, Delaware",3,1193,25.6,63.9,16.4
1400000US10003000400,10003000400,"Census Tract 4, New Castle County, Delaware",4,1535,29.7,28.7,8.5
1400000US10003000500,10003000500,"Census Tract 5, New Castle County, Delaware",5,1178,28.4,34,9.7
1400000US10003000601,10003000601,"Census Tract 6.01, New Castle County, Delaware",6.01,926,29.8,55.1,16.4
1400000US10003000602,10003000602,"Census Tract 6.02, New Castle County, Delaware",6.02,1358,43.6,43.1,18.8
1400000US10003000900,10003000900,"Census Tract 9, New Castle County, Delaware",9,748,48.5,53.2,25.8
1400000US10003001100,10003001100,"Census Tract 11, New Castle County, Delaware",11,2072,9.3,0,0.0
1400000US10003001200,10003001200,"Census Tract 12, New Castle County, Delaware",12,788,3.8,0,0.0
1400000US10003001300,10003001300,"Census Tract 13, New Castle County, Delaware",13,1647,2.6,14,0.4
1400000US10003001400,10003001400,"Census Tract 14, New Castle County, Delaware",14,988,10.7,45.3,4.8
1400000US10003001500,10003001500,"Census Tract 15, New Castle County, Delaware",15,942,12.6,22.7,2.9
1400000US10003001600,10003001600,"Census Tract 16, New Castle County, Delaware",16,829,43.8,38,16.6
1400000US10003001902,10003001902,"Census Tract 19.02, New Castle County, Delaware",19.02,809,24.1,50.8,12.2
1400000US10003002100,10003002100,"Census Tract 21, New Castle County, Delaware",21,789,49,44.7,21.9
1400000US10003002200,10003002200,"Census Tract 22, New Castle County, Delaware",22,870,46.1,62.1,28.6
1400000US10003002300,10003002300,"Census Tract 23, New Castle County, Delaware",23,1038,34.3,68,23.3
1400000US10003002400,10003002400,"Census Tract 24, New Castle County, Delaware",24,1925,21.9,57.3,12.5
1400000US10003002500,10003002500,"Census Tract 25, New Castle County, Delaware",25,1273,15.7,33.5,5.3
1400000US10003002600,10003002600,"Census Tract 26, New Castle County, Delaware",26,1318,51.6,60,31.0
1400000US10003002700,10003002700,"Census Tract 27, New Castle County, Delaware",27,918,23.3,70.1,16.3
1400000US10003002800,10003002800,"Census Tract 28, New Castle County, Delaware",28,867,11.5,26,3.0
1400000US10003002900,10003002900,"Census Tract 29, New Castle County, Delaware",29,1450,59.4,59.3,35.2
1400000US10003003002,10003003002,"Census Tract 30.02, New Castle County, Delaware",30.02,597,52.1,72.3,37.7
1400000US10003010101,10003010101,"Census Tract 101.01, New Castle County, Delaware",101.01,1897,21.3,46.7,9.9
1400000US10003010104,10003010104,"Census Tract 101.04, New Castle County, Delaware",101.04,1526,18.5,69.1,12.8
